level,error_category,events_count,users_count
средний,"Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 15; Cтолбец: 0] Не удалось загрузить файл или сборку ""Renci.S",3,1
средний,"Выполнение действия CSharp OwnCode: Get Messagge. id: <id> группы действий id: <id> Unterminated string. Expected delimiter: "". Path 'messag",3,1
средний,Выполнение программы D:\0.<n> Программы\0.<n> jq\jq.exe действия id: <id> группы действий id: <id> Результат: 3,3,1
средний,"Выполнение действия Table id: <id> группы действий id: <id> Column name must be one-, two- or three-letter name from A to XFD",3,1
средний,运行IF-statmen逻辑 动作id<id> 动作组id<id> 结果：false,3,1
средний,Not found,3,1
средний,Выполнение действия Emulation id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная стро,3,1
средний,Выполнение действия VariableOperations id: <id> группы действий id: <id> Значение для увеличения не может быть приведено к числовому | Syste,3,1
средний,"Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad",2,1
средний,Выполнение действия CSharp OwnCode: считаю разницу кликов (в неделю). id: <id> группы действий id: <id> Входная строка имела неверный формат,2,1
средний,Executing action WebBrowserExtensions id: <id> of action group id: <id> Error accessing Instance.InstallCrxExtension | System.Exception: Err,2,1
средний,Подпроект drom_parse_osn_file. Выполнение действия File id: <id> группы действий id: <id> подпроект path: C:\Users\ceo\Documents\drom_parse_,2,1
средний,Выполнение действия Db id: <id> группы действий id: <id> ERROR [IM002] [Microsoft][ODBC Driver Manager] Data source name not found and no de,2,1
средний,"Выполнение действия Emulation id: <id> группы действий id: <id> Имитация просмотра страницы не поддерживается в Firefox52x64. Пожалуйста, ис",2,1
средний,Выполнение действия List id: <id> группы действий id: <id> No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException:,2,1
средний,"Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 23; Cтолбец: 0] Не удалось загрузить файл или сборку ""Renci.S",2,1
средний,Subproject customPages. Executing the ProjectInProject action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zenno,2,1
средний,Subproject easycommissionfunnel. Running HtmlElement action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPo,2,1
средний,Subproject vulcan21966. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refacto,2,1
средний,Subproject paulharvie. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor,2,1
средний,Subproject leadhero. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\l,2,1
средний,Subproject copythepro. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor,2,1
средний,Subproject superAffiliate(goal). Running HtmlElement action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPo,2,1
средний,Subproject FreedomBlueprint. Running HtmlElement action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster,2,1
средний,Выполнение действия CSharp OwnCode: ждем пока файл CSV освободится. id: <id> группы действий id: <id> Поток находился в процессе прерывания.,2,1
средний,Выполнение действия TextProcessing id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная,2,1
средний,Server unavailable,2,1
средний,Выполнение действия CSharp OwnCode: connectarb. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.,2,1
средний,Выполнение действия Table id: <id> группы действий id: <id> No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException,2,1
средний,Выполнение действия ParsePage id: <id> группы действий id: <id> Unexpected token {Char} where {Ident} was expected. | System.FormatException,2,1
средний,Executing action CSharp OwnCode: Parse Filler Lines.id: <id> action group id: <id> Thread was being aborted. | System.Threading.ThreadAbortE,2,1
средний,Выполнение действия HtmlElement id: <id> группы действий id: <id> No such variable: Tag | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVar,2,1
средний,File not found,2,1
средний,Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Списка с указанным именем не существует,2,1
средний,Выполнение действия WebBrowserTabManagement id: <id> группы действий id: <id> Не нашли вкладку TW в инстансе. Инстанс <n>:<n>.0.0.1 | System,2,1
средний,"Executing action Parse Json/Xml id: <id> action group id: <id> Error reading JToken from JsonReader. Path '', line 0, position 0. | System.E",2,1
средний,Выполнение действия Остановить инстанс id: <id> группы действий id: <id> Ошибка обращения к Instance.PrepareInstance | System.Exception: Оши,2,1
средний,Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> ZennoBrowser не установлен | System.Exception: ZennoBrows,2,1
средний,"Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Cancelled"", Detail=""Call canc",1,1
средний,Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Can't connect to ZennoBrowser | System.Exception,1,1
средний,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Status(Stat,1,1
средний,Running the VariableOperations action id: <id> action group id: <id> Variable is not a number | System.FormatException: Input string was not,1,1
средний,Testing file C:\Users\tuhe\Dropbox\trustluna\ai pobieranie\outchat\7 existence action id: <id> action group id: <id> Result: file doesn't ex,1,1
средний,Perform the Touch action id: <id> action group id: <id> HTML element or tab was not found using search settings,1,1
средний,Running the WebBrowserSettings action id: <id> action group id: <id> Invalid format. | System.Exception: Invalid format,1,1
средний,Выполнение действия CSharp OwnCode: считаю разницу кликов (в неделю). id: <id> группы действий id: <id> [Строка: 19; Cтолбец: 0] max_click н,1,1
средний,Выполнение действия CSharp OwnCode: считаю разницу в рублях. id: <id> группы действий id: <id> Входная строка имела неверный формат. | Syste,1,1
средний,Выполнение действия CSharp OwnCode: паршу данные. id: <id> группы действий id: <id> No such variable: total_clicks | ZennoLab.TemplateManipu,1,1
средний,Executing action WebBrowserExtensions id: <id> of action group id: <id> Extension are supported only in Chromium browser engine | System.Inv,1,1
средний,"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://japantravel.navitime.com/zh-cn/booking/tourist-pass/osaka",1,1
средний,Взятие строки из таблицы действия id: <id> группы действий id: <id> Строки с номером не существует в таблице,1,1
средний,"Выполнение действия CSharp OwnCode: Беру проксю, меняю айпи, загружаю профиль. id: <id> группы действий id: <id> Поток находился в процессе ",1,1
средний,Extension installer not found,1,1
средний,"Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> Error reading JToken from JsonReader. Path '', line 0, position 0. | Sy",1,1
средний,Выполнение программы C:\Zenno\OpenAi-TTS\ffmpeg.exe действия id: <id> группы действий id: <id> Результат: -<n>,1,1
средний,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\Administrator\Desktop\зенка Парсер\\1""",1,1
средний,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\Administrator\Desktop\зенка Парсер\1""",1,1
средний,Выполнение действия Http id: <id> группы действий id: <id> No such variable: ip_info | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariab,1,1
средний,Выполнение действия CSharp OwnCode: Get Messagge. id: <id> группы действий id: <id> Поток находился в процессе прерывания,1,1
средний,Subproject FreedomBlueprint. Run Emulation action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refac,1,1
средний,Выполнение действия Emulation id: <id> группы действий id: <id> Ошибка обращения к Instance.SendText | System.Exception: Ошибка обращения к ,1,1
средний,Подпроект 2_1_YT_load_ZP. Выполнение действия Directory id: <id> группы действий id: <id> подпроект path: D:\ZENNO\1_Youtube_Zennoposter\2_1,1,1
средний,Выполнение действия LaunchProgram id: <id> группы действий id: <id> Отказано в доступе | System.ComponentModel.Win32Exception (0x80004005): ,1,1
средний,Выполнение действия CSharp OwnCode: arbbridge. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.T,1,1
средний,Выполнение действия CSharp OwnCode: Auth.Metamask. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threadi,1,1
средний,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCache | System.Exception: Ошибка о,1,1
средний,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\MikeSor\Desktop\Zenno\Шаблоны\Fiverr\Mis",1,1
средний,Выполнение действия Directory id: <id> группы действий id: <id> Индекс находился вне границ массива. | System.IndexOutOfRangeException: Инде,1,1
средний,Выполнение действия Http id: <id> группы действий id: <id> No such variable: auth64 | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariabl,1,1
средний,Выполнение действия ParsePage id: <id> группы действий id: <id> Invalid format of the collection numbers. ElementsInCollection: 16. Path: -1,1,1
средний,Выполнение действия распознавания капчи id: <id> группы действий id: <id> Некорректная капча | System.Exception: Некорректная капча,1,1
средний,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://b.dom-edinstva.ru/crm/lead/details/<n>/, Regex: ",1,1
средний,"Выполнение действия CSharp OwnCode: KeyEvent(""down"",""press"",""""). id: <id> группы действий id: <id> Поток находился в процессе прерывания. | ",1,1
средний,Access denied,1,1
средний,Выполнение действия ParsePage id: <id> группы действий id: <id> Результатом выражения должен быть NodeSet. | System.Xml.XPath.XPathException,1,1
средний,Выполнение действия List id: <id> группы действий id: <id> Искомый элемент отсутствует в списке | System.Exception: Искомый элемент отсутств,1,1
средний,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCookie | System.Exception: Ошибка ,1,1
средний,Taking line from the table action id: <id> action group id: <id> Line No. does not exist in the table,1,1
средний,Running the switch logic statement action id: <id> action group id: <id> Result: No matching values,1,1
средний,Выполнение действия CSharp OwnCode: Поиск на dzen.ru. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Thre,1,1
