domain,users_count,projects_count,what_users_do,top_themes
api.sctg.xyz,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
m.mail.ru,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
id.mail.ru,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
app.surutto-qrtto.com,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
billet.glyptoteket.dk,1,1,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция",Регистрация/аккаунты
tsugaike.nippon-ski.com,1,1,"Прочие действия, Навигация по сайтам, Формы/клики/DOM",Служебная автоматизация
real-voyeur.org,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
pixhost.to,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
takefile.link,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
hackingcameras.net,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
static-cache.tezfiles.com,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
mail.com,1,1,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи",Регистрация/аккаунты
gsm888.vip,1,1,"Прочие действия, Формы/клики/DOM",Регистрация/аккаунты
capitalone.com,1,1,"Прочие действия, Формы/клики/DOM",Регистрация/аккаунты
cookpvp.ru,1,1,HTTP/API запросы,Регистрация/аккаунты
api.supadata.ai,1,1,HTTP/API запросы,Регистрация/аккаунты
psinaarbar.nl,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
circus.nl,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
betnation.nl,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
711.nl,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
jacks.nl,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
hardrockcasino.nl,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
betcity.nl,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
comeon.com,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
888.nl,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
bertvandermeer.nl,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
marketplace.emag.ro,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
scroll.io,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
thumbtack.com,1,1,"Формы/клики/DOM, Парсинг/валидация, Прокси/профили/эмуляция",Регистрация/аккаунты
snopes.com,1,1,"Формы/клики/DOM, Парсинг/валидация, Прокси/профили/эмуляция",Регистрация/аккаунты
ups.com,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Соцсети
abc.net,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
printables.com,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
artstation.com,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
media.printables.com,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
epicgames.com,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
makerworld.com,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
account.prusa3d.com,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
prnews.io,1,1,"Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация",Регистрация/аккаунты
badanieai.trustluna.com,1,1,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция",Регистрация/аккаунты
ya.cc,1,1,"Формы/клики/DOM, HTTP/API запросы, Таблицы/Google Sheets",Соцсети
yandex.ru.tr,1,1,"Формы/клики/DOM, HTTP/API запросы, Таблицы/Google Sheets",Соцсети
qcomment.com,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
belarus.blsspainglobal.com,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
31.129.97.227,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
82.209.218.60,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
visa-es-by.rega-line.ru,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
appointment.blsspainbelarus.by,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
8767ca9dc6f370.lhr.life,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
ident.me,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
zvanok.by,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
appointment.blsspainrussia.ru,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Соцсети
ru.regery.com,1,1,"Формы/клики/DOM, Парсинг/валидация, Прокси/профили/эмуляция",Регистрация/аккаунты
cdn.ampproject.org,1,1,"HTTP/API запросы, Парсинг/валидация",Соцсети
web.archive.org,1,1,"HTTP/API запросы, Парсинг/валидация",Соцсети
falconsender.ru,1,1,"Формы/клики/DOM, HTTP/API запросы, Таблицы/Google Sheets",Регистрация/аккаунты
api.zeptomail.eu,1,1,"Формы/клики/DOM, HTTP/API запросы, Таблицы/Google Sheets",Регистрация/аккаунты
