lite_or_pro,error_category,events_count,users_count
lite,Running the WebBrowserSettings action id: <id> action group id: <id> Invalid format. | System.Exception: Invalid format,1,1
lite,Выполнение действия HtmlElement id: <id> группы действий id: <id> Ошибка обращения к Instance.GetTabByAddress | System.Exception: Ошибка обр,1,1
lite,Выполнение действия FTPDirectory id: <id> группы действий id: <id> Ошибка при работе с FTP,1,1
lite,"Выполнение действия FTPDirectory id: <id> группы действий id: <id> Прокси имеет неверный формат: ""94.<n>.<n>.60"" | System.Exception: Прокси ",1,1
lite,Выполнение действия Directory id: <id> группы действий id: <id> Ошибка при работе с директорией,1,1
lite,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> No such variable: links | ZennoLab.TemplateManipulator.V4.Helpers.Inva,1,1
lite,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> No such variable: new_link | ZennoLab.TemplateManipulator.V4.Helpers.I,1,1
lite,Extension installer not found,1,1
lite,Выполнение действия Http id: <id> группы действий id: <id> No such variable: ip_info | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariab,1,1
lite,Выполнение действия CSharp OwnCode: Get Messagge. id: <id> группы действий id: <id> Поток находился в процессе прерывания,1,1
lite,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: <n>; Cтолбец: 1] Не удалось собрать Cookie header для xe.com ,1,1
lite,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> No such variable: xe_rates_usd | ZennoLab.TemplateManipulator.V4.Helpe,1,1
lite,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCache | System.Exception: Ошибка о,1,1
lite,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка обращения к Instance.PrepareInstance | System.Ex,1,1
lite,Выполнение действия JavaScript OwnCode id: <id> группы действий id: <id> No such variable: entry_price_fixed | System.InvalidOperationExcept,1,1
lite,Выполнение действия JavaScript OwnCode id: <id> группы действий id: <id> No such variable: mexc_ask_fixed | System.InvalidOperationException,1,1
lite,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> No such variable: entry_price_fixed | ZennoLab.TemplateManipulator.V4.,1,1
lite,Выполнение действия Logic id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная строка и,1,1
lite,Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> No such variable: responseJSON | ZennoLab.TemplateManipulator.V4.Helper,1,1
lite,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка проверки совместимости профиль-папки: Профиль-папка несовмес,1,1
lite,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\askeroff\Desktop\zenno\/profiles.zppprof",1,1
lite,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\askeroff\Desktop\zenno\\profiles.zppprof",1,1
lite,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\askeroff\Desktop\zenno\profiles.zppprofi",1,1
lite,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\askeroff\Desktop\zenno\profiles.zpprofil",1,1
lite,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\askeroff\Desktop\zenno\profiles\user1""",1,1
lite,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Браузер не может быть запущен в указанной папке ( C:/Users/askeroff,1,1
lite,Выполнение действия JavaScript OwnCode id: <id> группы действий id: <id> No such variable: myVariable | System.InvalidOperationException: По,1,1
lite,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://www.tiktok.com/en/, Regex: Drag\s+the\s+slider\s",1,1
lite,Выполнение действия TextProcessing id: <id> группы действий id: <id> Обрабатываемый текст не может быть пустым,1,1
lite,"Выполнение действия Удалить профили ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unknown"", Detail=""Exception was thrown",1,1
lite,"Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Не удалось найти часть пути ""C:\MyVideos"". | System.IO.DirectoryNotFou",1,1
lite,Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Не указано Максимальное количество профилей на один прокс,1,1
lite,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Все профили указанной папки заняты | ZennoLab.ZennoPost,1,1
lite,Выполнение действия ParsePage id: <id> группы действий id: <id> Значение не может быть неопределенным,1,1
lite,Выполнение действия Touch HtmlElement id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Вход,1,1
lite,"Выполнение действия Emulation id: <id> группы действий id: <id> Имитация просмотра страницы не поддерживается в Firefox52x64. Пожалуйста, ис",1,1
lite,Выполнение действия ParsePage id: <id> группы действий id: <id> Результатом выражения должен быть NodeSet. | System.Xml.XPath.XPathException,1,1
lite,Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatExce,1,1
lite,Выполнение действия WebBrowserExtensions id: <id> группы действий id: <id> Incorrect extension parsing type! | System.InvalidOperationExcept,1,1
lite,Выполнение действия TextProcessing id: <id> группы действий id: <id> Ошибка при обработке текста,1,1
lite,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Некорректный формат. | System.Exception: Некорректный формат,1,1
pro,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",712,70
pro,运行HTMLElement 动作id<id> 动作组id<id> 根据搜索条件未找到HTML元素,315,12
pro,Выполнение действия List id: <id> группы действий id: <id> Искомый элемент отсутствует в списке | System.Exception: Искомый элемент отсутств,113,6
pro,Captcha/anti-bot,82,13
pro,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,80,22
pro,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,75,27
pro,运行IF-statmen逻辑 动作id<id> 动作组id<id> 结果：false,68,6
pro,Running HtmlElement action id: <id> action group id: <id> An HTML element matching the search criteria hasn't been found,56,8
pro,Proxy issue,49,21
pro,Null reference,49,20
pro,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,39,11
pro,Timeout,35,15
pro,Server 500,29,13
pro,Rate limit,27,13
pro,Выполнение действия Emulation id: <id> группы действий id: <id> Выполнение прервано | System.Exception: Выполнение прервано,25,10
pro,Выполнение действия File id: <id> группы действий id: <id> Ошибка при работе с файлом,25,9
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.ThreadAbortE,24,9
pro,Взятие строки из таблицы действия id: <id> группы действий id: <id> Строки с номером не существует в таблице,24,8
pro,Выполнение действия ProjectInProject id: <id> группы действий id: <id> Ошибка при обработке,24,6
pro,Выполнение действия Emulation id: <id> группы действий id: <id> Ошибка при обработке,23,6
pro,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Status(Stat,22,4
pro,Subproject isLinkLoaded. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refact,21,1
pro,"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://www.paramountplus.com/account/signup/submitpayment, Regex",20,1
pro,Perform the JavaScript OwnCode action id: <id> action group id: <id> Error accessing Document.EvaluateScript | System.Exception: Error acces,19,1
pro,"Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC res",19,1
pro,Argument error,18,10
pro,Server unavailable,13,9
pro,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат,13,5
pro,运行列表 动作id<id> 动作组id<id> 列表为空 | System.Exception: 列表为空,13,4
pro,Подпроект readability. Выполнение действия CSharp OwnCode: check required vars. id: <id> группы действий id: <id> подпроект path: C:\Users\А,12,1
pro,Выполнение действия Table id: <id> группы действий id: <id> Ошибка при обработке таблицы,11,7
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 60; Cтолбец: 0] Не нашли на странице поле для ввода кода 2FA ,11,1
pro,"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://tsugaike.nippon-ski.com/ja/checkout/cart/, Regex: 名義人\s+",11,1
pro,Run List action id: <id> action group id: <id> List is empty | System.Exception: List is empty,10,4
pro,"Выполнение действия Touch HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент либо вкладка, по условиям поиска",10,2
pro,Выполнение действия LaunchProgram id: <id> группы действий id: <id> Не удается найти указанный файл | System.ComponentModel.Win32Exception (,10,2
pro,运行TextProcessing 动作id<id> 动作组id<id> 处理文本不能为空,10,2
pro,运行列表 动作id<id> 动作组id<id> 处理列表失败,10,2
pro,Executing action CSharp OwnCode: zaytatanie czy mamy jeszcze cos do sprawdzenia.id: <id> action group id: <id> [Row: 18; Column: 1] Brak zad,10,1
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Что то пошло не так! | System.Exception: Что то пошло не так!,10,1
pro,Выполнение действия CSharp OwnCode: Заполнение аватарки. id: <id> группы действий id: <id> [Строка: <n>; Cтолбец: 0] Не смог выбрать фото из,10,1
pro,Running the WebBrowserSettings action id: <id> action group id: <id> Object reference not set to an instance of an object,9,3
pro,Executing the Get ZennoBrowser profiles action id: <id> action group id: <id> ZennoBrowser not installed | System.Exception: ZennoBrowser no,9,1
pro,Подпроект 48 Менеджер ЯК Для общего шаблона. Выполнение действия HtmlElement id: <id> группы действий id: <id> подпроект path: D:\ZP\02 На з,9,1
pro,Выполнение действия WebBrowserTab id: <id> группы действий id: <id> Ошибка обращения к Instance.ActiveTab | System.Exception: Ошибка обращен,8,3
pro,Выполнение действия CSharp OwnCode: FARM. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.Thread,8,1
pro,Выполнение логического оператора Switch действия id: <id> группы действий id: <id> Результат: Нет подходящего значения,7,5
pro,Выполнение действия List id: <id> группы действий id: <id> Ошибка при обработке списка,7,5
pro,Выполнение действия JavaScript OwnCode id: <id> группы действий id: <id> EvaluateScriptAsync: Uncaught SyntaxError: Invalid or unexpected to,7,2
pro,Проверка существования файла {-Project.task_path-} действия id: <id> группы действий id: <id> Результат: файл не существует,7,1
pro,"Выполнение действия Db id: <id> группы действий id: <id> ERROR [<n>] ОШИБКА: ошибка синтаксиса (примерное положение: "","")",7,1
pro,运行TextProcessing 动作id<id> 动作组id<id> No such list,7,1
pro,从表格中获取行 动作id<id> 动作组id<id> 行数在表格中不存在,7,1
pro,Подпроект readability_example. Выполнение действия CSharp OwnCode: Exc. id: <id> группы действий id: <id> подпроект path: C:\Users\Администр,7,1
pro,Выполнение действия Directory id: <id> группы действий id: <id> Ошибка при работе с директорией,6,3
pro,Выполнение действия Http id: <id> группы действий id: <id> Превышен таймаут ResourceDownloader.GetResult. | System.Exception: Превышен тайма,6,3
pro,Выполнение действия JavaScript OwnCode id: <id> группы действий id: <id> CdpDocument.EvaluateScript failed | System.Exception: CdpDocument.E,6,3
pro,Выполнение действия TextProcessing id: <id> группы действий id: <id> No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariable,6,2
pro,Running the switch logic statement action id: <id> action group id: <id> Result: No matching values,6,2
pro,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\gorch\OneDrive\Рабочий стол\ван вин\пиас",6,1
pro,Run List action id: <id> action group id: <id> The desired item is not in the list | System.Exception: The desired item is not in the list,6,1
pro,Выполнение действия Plugin id: <id> группы действий id: <id> Ошибка при обработке плагина Cap.Guru.27.6_all Ошибка в действии: <id>,6,1
pro,Выполнение действия Http id: <id> группы действий id: <id> Ошибка запроса,5,4
pro,Выполнение действия VariableOperations id: <id> группы действий id: <id> Переменная не число | System.FormatException: Входная строка имела ,5,3
pro,Running the logical IF-statement action id: <id> action group id: <id> Result: false,5,2
pro,Выполнение действия CSharp OwnCode: Get Code. id: <id> группы действий id: <id> [Строка: 93; Cтолбец: 4] Таймаут 65с ожидания СМС для <n> | ,5,1
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 14; Cтолбец: 0] Случайное падение (20%) | System.Exception: С,5,1
pro,Выполнение действия CSharp OwnCode: ПОЛУЧАЕМ НОВУЮ ССЫЛКУ НА ВИДЕО. id: <id> группы действий id: <id> No such list: youtube | ZennoLab.Templ,5,1
pro,解析该页面动作id: <id> 动作组id: <id> 没有元素匹配所定义的参数,5,1
pro,"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://tsugaike.nippon-ski.com/ja/checkout/, Regex: 名義人\s+",5,1
pro,Выполнение действия ParsePage id: <id> группы действий id: <id> Индекс находился вне границ массива. | System.IndexOutOfRangeException: Инде,5,1
pro,"Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad",4,3
pro,File not found,4,3
pro,Выполнение действия List id: <id> группы действий id: <id> No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException:,4,3
pro,"Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> Error reading JToken from JsonReader. Path '', line 0, position 0. | Sy",4,2
pro,"Executing action Parse Json/Xml id: <id> action group id: <id> Error reading JToken from JsonReader. Path '', line 0, position 0. | System.E",4,2
pro,Выполнение действия распознавания капчи id: <id> группы действий id: <id> Некорректная капча | System.Exception: Некорректная капча,4,2
pro,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCookie | System.Exception: Ошибка ,4,2
pro,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\ооолод\Downloads\Telegram Desktop\профил",4,1
pro,Выполнение действия Logic id: <id> группы действий id: <id> No such variable: email_login | ZennoLab.TemplateManipulator.V4.Helpers.InvalidV,4,1
pro,Выполнение действия Plugin id: <id> группы действий id: <id> Ошибка при обработке плагина ApprooveMM Ошибка в действии: <id>,4,1
pro,运行人物信息 动作id<id> 动作组id<id> 未发现匹配的配置文件 | System.Data.ObjectNotFoundException: 未发现匹配的配置文件,4,1
pro,执行项目中的动作id:<id> 动作组id<id> 从指定路径中为发现嵌套项目C:\Users\Administrator\Desktop\zp\auto\,4,1
pro,Выполнение действия CSharp OwnCode: API: Заливка header. id: <id> группы действий id: <id> [Строка: 67; Cтолбец: 4] Header upload: Удаленный,4,1
pro,Выполнение действия VariableOperations id: <id> группы действий id: <id> No such variable: images | ZennoLab.TemplateManipulator.V4.Helpers.,4,1
pro,执行动作 Db id: <id> 在动作组中: <id> No such variable: info | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: No such variable: in,4,1
pro,Подпроект newAccs. Выполнение действия Table id: <id> группы действий id: <id> подпроект path: C:\Users\chyzh\OneDrive\Робочий стіл\Нова пап,4,1
pro,Выполнение программы C:\Users\ilya.krabik\anaconda3\envs\pytools_envs\python.exe действия id: <id> группы действий id: <id> Результат: 1,4,1
pro,Выполнение действия LaunchProgram id: <id> группы действий id: <id> Указанный исполняемый файл не является действительным приложением для эт,4,1
pro,работа с email не найдено письмо,3,3
pro,Выполнение действия ImageProcessing id: <id> группы действий id: <id> Ошибка при получении изображения,3,3
pro,执行动作C#自定义代码.id: <id> 动作组 id: <id> Thread was being aborted. | System.Threading.ThreadAbortException: Thread was being aborted,3,3
pro,Взятие строки из таблицы действия id: <id> группы действий id: <id> Ошибка при обработке таблицы,3,3
pro,Taking line from the table action id: <id> action group id: <id> Line No. does not exist in the table,3,2
pro,Выполнение действия HtmlElement id: <id> группы действий id: <id> Ошибка обращения к Instance.ActiveTab | System.Exception: Ошибка обращения,3,2
pro,Выполнение действия HtmlElement id: <id> группы действий id: <id> Индекс находился вне границ массива. | System.IndexOutOfRangeException: Ин,3,2
pro,Executing the Start ZennoBrowser instance action id: <id> action group id: <id> ZennoBrowser product is not installed | ZennoLab.ZennoPoster,3,1
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 22; Cтолбец: 0] <n>.. Нет xpath элемента: //h1[contains(@clas,3,1
pro,Подпроект Сериалы - создание заданий на анимирование. Выполнение действия ProjectInProject id: <id> группы действий id: <id> подпроект path:,3,1
pro,Подпроект Сериалы - создание заданий на анимирование. Выполнение логического оператора If действия id: <id> группы действий id: <id> подпрое,3,1
pro,Выполнение действия Db id: <id> группы действий id: <id> ERROR [22P02] ОШИБКА: неверный синтаксис для типа json,3,1
pro,Выполнение действия CSharp OwnCode: FARM. id: <id> группы действий id: <id> System.FormatException: Входная строка имела неверный формат.. |,3,1
pro,Выполнение действия Db id: <id> группы действий id: <id> ERROR [IM014] [Microsoft][ODBC Driver Manager] The specified DSN contains an archit,3,1
pro,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Идентификатор профиля ZennoBrowser пустой | ZennoLab.Ze,3,1
pro,Выполнение программы C:\Zenno\Metatags\Metatags.bat действия id: <id> группы действий id: <id> Результат: 1,3,1
pro,"Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 15; Cтолбец: 0] Не удалось загрузить файл или сборку ""Renci.S",3,1
pro,"Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> Unexpected character encountered while parsing value: (. Path '', line ",3,1
pro,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://vk.ru/club236207849/settings/requests, Regex: По",3,1
pro,Выполнение программы D:\0.<n> Программы\0.<n> jq\jq.exe действия id: <id> группы действий id: <id> Результат: 3,3,1
pro,Выполнение действия CSharp OwnCode: ПРОВЕРКА НА УСПЕШНОСТЬ РЕГИСТРАЦИИ. id: <id> группы действий id: <id> Поток находился в процессе прерыва,3,1
pro,"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://ipinfo.io/json, Regex: What's your car's make?",3,1
pro,执行动作C#自定义代码.id: <id> 动作组 id: <id> startIndex cannot be larger than length of string,3,1
pro,运行TextProcessing 动作id<id> 动作组id<id> No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: No such list: ---> Sys,3,1
pro,Выполнение действия CSharp OwnCode: Get email. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.T,3,1
pro,Subproject aircheck_latest_001. Running HtmlElement action id: <id> action group id: <id> subproject path: C:\Users\jack\Desktop\aircheck_la,3,1
pro,Running the Profile action id: <id> action group id: <id> Could not find matching profile. | System.Data.ObjectNotFoundException: Could not ,3,1
pro,Выполнение действия Db id: <id> группы действий id: <id> You have an error in your SQL syntax; check the manual that corresponds to your MyS,3,1
