error_category,events_count,users_count,example_message
Run List action id: <id> action group id: <id> List is empty | System.Exception: List is empty,15,6,"Run List action id: a0b6dc28-0c9d-4770-83d1-457581d7373b action group id: 6910dae3-18fa-47bc-b5ec-a7bc966cd8b9 List is empty | System.Exception: List is empty
   at ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.Pro | Run List action id: 2225ed1c-b10e-43bd-8cdf-085388ce9b16 action group id: 81431629-2a3c-4d25-9c4c-15316dcf521f List is empty | System.Exception: List is empty
   at ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.Pro"
Выполнение действия Emulation id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная стро,13,6,Выполнение действия Emulation id: d8521faf-28f8-49a9-9f25-21b1ab9b4262 группы действий id: 46d697af-407e-43ec-b318-7dc9fdadf62f Входная строка имела неверный формат. | System.FormatException: Входная строка имела неверны | Выполнение действия Emulation id: 8c71f664-d918-49d8-b6dd-53ac2443df76 группы действий id: 09932c60-2363-477f-963f-36e1bb67d07b Входная строка имела неверный формат. | System.FormatException: Входная строка имела неверны
运行列表 动作id<id> 动作组id<id> 列表为空 | System.Exception: 列表为空,13,4,"运行列表 动作idc1ba81a7-752c-4e94-b014-e6a065cc0995 动作组idf889fc56-fb80-4f86-b5dd-1d8c913c4d91 列表为空 | System.Exception: 列表为空
   at ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.ProjectExecutors.ProjectExecutor.ListGetStri | 运行列表 动作idfc868ab0-a2f0-4456-bc99-8fe551eec1dc 动作组idd9ca782e-e38d-4da1-9815-07b63258e7e5 列表为空 | System.Exception: 列表为空
   at ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.ProjectExecutors.ProjectExecutor.ListGetStri"
"Выполнение действия Touch HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент либо вкладка, по условиям поиска",12,4,"Выполнение действия Touch HtmlElement id: 3fdd5800-06aa-4a8e-8c5d-b80890ec814a группы действий id: b17de1b0-e7d7-4ecc-a186-6f7d639b84aa Не найден HTML элемент либо вкладка, по условиям поиска | Выполнение действия Touch HtmlElement id: aefd9844-1310-4e14-990e-63c9869fe9c1 группы действий id: ef1ba2a8-db3f-439d-b054-9c4f5a2364c0 Не найден HTML элемент либо вкладка, по условиям поиска"
Подпроект readability. Выполнение действия CSharp OwnCode: check required vars. id: <id> группы действий id: <id> подпроект path: C:\Users\А,12,1,Подпроект readability. Выполнение действия CSharp OwnCode: check required vars. id: a0147638-4722-41a9-b93b-03d1f94b3a73 группы действий id: 0ba2ebd3-f755-4379-ace6-3c4d20793a56 подпроект path: C:\Users\Администратор\Doc | Подпроект readability. Выполнение действия CSharp OwnCode: check required vars. id: a0147638-4722-41a9-b93b-03d1f94b3a73 группы действий id: 0ba2ebd3-f755-4379-ace6-3c4d20793a56 подпроект path: C:\Users\Администратор\Doc
Выполнение действия Table id: <id> группы действий id: <id> Ошибка при обработке таблицы,11,7,Выполнение действия Table id: 7a442c3e-8123-49f1-8922-30251e73a6ae группы действий id: 9b5bca3c-5c25-476a-90a2-3b3779f101b7 Ошибка при обработке таблицы | Выполнение действия Table id: f3b31605-bbb0-47a3-ae39-540993587bbb группы действий id: dc1f16c7-015e-4841-9ebb-366b4f02f31d Ошибка при обработке таблицы
Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Идентификатор профиля ZennoBrowser пустой | ZennoLab.Ze,11,3,Выполнение действия Запустить инстанс ZennoBrowser id: 63ce1678-2e41-4b3f-9772-008127f023a6 группы действий id: 99e3d0d6-a477-4876-8f4d-f0b632222750 Идентификатор профиля ZennoBrowser пустой | ZennoLab.ZennoPoster.Core.T | Выполнение действия Запустить инстанс ZennoBrowser id: 63ce1678-2e41-4b3f-9772-008127f023a6 группы действий id: 99e3d0d6-a477-4876-8f4d-f0b632222750 Идентификатор профиля ZennoBrowser пустой | ZennoLab.ZennoPoster.Core.T
Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 60; Cтолбец: 0] Не нашли на странице поле для ввода кода 2FA ,11,1,Выполнение действия CSharp OwnCode. id: 1794b34a-ae05-4a67-91be-39b0f9f9427d группы действий id: 680d3538-f879-4f84-89b2-a63701991ee4 [Строка: 60; Cтолбец: 0] Не нашли на странице поле для ввода кода 2FA | System.Excepti | Выполнение действия CSharp OwnCode. id: 1794b34a-ae05-4a67-91be-39b0f9f9427d группы действий id: 680d3538-f879-4f84-89b2-a63701991ee4 [Строка: 60; Cтолбец: 0] Не нашли на странице поле для ввода кода 2FA | System.Excepti
"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://tsugaike.nippon-ski.com/ja/checkout/cart/, Regex: 名義人\s+",11,1,"Searching text on a page action id: 06f033ca-29a0-4d35-8b4e-de812685851fof action group id: 09ea312f-1f08-489c-82db-92af2adec786 未发现, Url: https://tsugaike.nippon-ski.com/ja/checkout/cart/, Regex: 名義人\s+ | Searching text on a page action id: 06f033ca-29a0-4d35-8b4e-de812685851fof action group id: 09ea312f-1f08-489c-82db-92af2adec786 未发现, Url: https://tsugaike.nippon-ski.com/ja/checkout/cart/, Regex: 名義人\s+"
Выполнение действия LaunchProgram id: <id> группы действий id: <id> Не удается найти указанный файл | System.ComponentModel.Win32Exception (,10,2,Выполнение действия LaunchProgram id: 39ecd742-ec13-4d8b-b13c-1687181d54d4 группы действий id: dd3950c9-6327-431a-b38f-2a9fe7def2e1 Не удается найти указанный файл | System.ComponentModel.Win32Exception (0x80004005): Не  | Выполнение действия LaunchProgram id: 682b54b0-a9a2-4f47-9fd8-8ae0915c27e1 группы действий id: 4632bb3a-7f8c-49f6-8299-1cbbf27cf3a1 Не удается найти указанный файл | System.ComponentModel.Win32Exception (0x80004005): Не 
运行TextProcessing 动作id<id> 动作组id<id> 处理文本不能为空,10,2,运行TextProcessing 动作id57217e7d-4d1d-4a80-8ad6-f3fcd8d21c84 动作组idc090277e-d86e-41fd-a87d-3d1a333ad6a1 处理文本不能为空 | 运行TextProcessing 动作ided3e9a89-015e-48ae-a015-f0d22bfc41a5 动作组ida998fd54-875f-422d-a5e4-154e18d1b2a9 处理文本不能为空
运行列表 动作id<id> 动作组id<id> 处理列表失败,10,2,运行列表 动作id35fd3b18-147e-4df1-a055-28323d3bf1fb 动作组ida998fd54-875f-422d-a5e4-154e18d1b2a9 处理列表失败 | 运行列表 动作id35fd3b18-147e-4df1-a055-28323d3bf1fb 动作组ida998fd54-875f-422d-a5e4-154e18d1b2a9 处理列表失败
Выполнение действия CSharp OwnCode: Get Messagge. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threadin,10,1,Выполнение действия CSharp OwnCode: Get Messagge. id: 38e8b647-416d-4991-a73c-034f3a3f73d6 группы действий id: e5ffb255-4215-43c4-b051-ee07b8df6b7d Поток находился в процессе прерывания. | System.Threading.ThreadAbortExc | Выполнение действия CSharp OwnCode: Get Messagge. id: 38e8b647-416d-4991-a73c-034f3a3f73d6 группы действий id: e5ffb255-4215-43c4-b051-ee07b8df6b7d Поток находился в процессе прерывания. | System.Threading.ThreadAbortExc
Executing action CSharp OwnCode: zaytatanie czy mamy jeszcze cos do sprawdzenia.id: <id> action group id: <id> [Row: 18; Column: 1] Brak zad,10,1,Executing action CSharp OwnCode: zaytatanie czy mamy jeszcze cos do sprawdzenia.id: 4d6a4107-b0be-4ce9-b4af-78ad2a3311e0 action group id: 016302e9-5334-4e8b-8f22-7a520f0f4cb8 [Row: 18; Column: 1] Brak zadań do wykonania! | Executing action CSharp OwnCode: zaytatanie czy mamy jeszcze cos do sprawdzenia.id: 4d6a4107-b0be-4ce9-b4af-78ad2a3311e0 action group id: 016302e9-5334-4e8b-8f22-7a520f0f4cb8 [Row: 18; Column: 1] Brak zadań do wykonania!
Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Что то пошло не так! | System.Exception: Что то пошло не так!,10,1,"Выполнение действия CSharp OwnCode. id: b9967dc6-7d55-431a-8956-360e05672e18 группы действий id: ea1cb2b7-18dc-45ce-9ef6-51818a19ae55 Что то пошло не так! | System.Exception: Что то пошло не так!
   в ZennoLab.OwnCode.C | Выполнение действия CSharp OwnCode. id: b9967dc6-7d55-431a-8956-360e05672e18 группы действий id: ea1cb2b7-18dc-45ce-9ef6-51818a19ae55 Что то пошло не так! | System.Exception: Что то пошло не так!
   в ZennoLab.OwnCode.C"
Выполнение действия CSharp OwnCode: Заполнение аватарки. id: <id> группы действий id: <id> [Строка: <n>; Cтолбец: 0] Не смог выбрать фото из,10,1,Выполнение действия CSharp OwnCode: Заполнение аватарки. id: b94dc813-0488-42a4-a5ec-34a3aa6518e8 группы действий id: 7cfb4ad0-bdf8-44ff-b1cf-0c88261b7f3c [Строка: 218; Cтолбец: 0] Не смог выбрать фото из галереи | Syste | Выполнение действия CSharp OwnCode: Заполнение аватарки. id: b94dc813-0488-42a4-a5ec-34a3aa6518e8 группы действий id: 7cfb4ad0-bdf8-44ff-b1cf-0c88261b7f3c [Строка: 218; Cтолбец: 0] Не смог выбрать фото из галереи | Syste
